Unnamed: 0,Name,JapaneseName,Station,FirstCategory,SecondCategory,AVG_DinnerPrice_USD$,AVG_LunchPrice_USD,TotalRating,DinnerRating,LunchRating,ReviewNum,Lat,Long,Cost_Rating_Dinner,Cost_Rating_Lunch
371,osakenobijutsukankyoutosanjoukarasumaretoropabu  ,お酒の美術館 京都三条烏丸レトロパブ,Karasuma Oike,Bar,Pub,14.0,,3.07,3.07,3.08,14,35.0088371264815,135.758890312416,4.5602605863192185,
376,fu-zuba-shioriya  ,Foods bar 栞屋,Fushimi Momoyama,Izakaya (Tavern),Seafood,33.0,14.0,3.08,3.09,3.02,27,34.93221704397239,135.762067187416,10.679611650485437,4.635761589403973
378,Kyoukarasuma  ,KYOU 饗 Karasuma,Marutamachi,Kappo (Traditional Japanese),Shabu Shabu (Japanese Steamboat),52.0,24.0,3.04,3.01,3.05,3,35.0170448658086,135.759240738747,17.27574750830565,7.868852459016394
379,konana  ,こなな 四条店,Karasuma,Pasta,Cafe,14.0,14.0,3.0,3.05,3.0,21,35.0048187081379,135.761222248208,4.59016393442623,4.666666666666667
380,Eijuan  ,栄寿庵,Kyoto,Kyoto Cuisine,Kaiseki (Traditional Japanese),52.0,24.0,3.0,3.04,3.0,6,34.9868944053945,135.754991924237,17.105263157894736,8.0
382,kyoutogyuukaisekiinayoshi  ,京都牛懐石 稲吉,Gion Shijo,Kaiseki (Traditional Japanese),Beef dishes,117.0,33.0,3.52,3.5,3.38,36,35.0061859589746,135.771232742776,33.42857142857143,9.763313609467456
383,Sumibikushiyakitsujiya  ,炭火串焼 つじや 本店,Marutamachi,Yakitori (Grilled chicken),Izakaya (Tavern),33.0,,3.19,3.14,3.1,29,35.0147078952308,135.759336949466,10.509554140127388,
384,Koji  ,Cozy,Nijojo Mae,Western Cuisine,Buffet style,42.0,24.0,3.21,3.06,3.39,60,35.0126843848362,135.75271203727502,13.72549019607843,7.0796460176991145
386,gionkurashita  ,祇園 くらした,Gion Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),117.0,33.0,3.39,3.41,3.02,20,35.0024242162741,135.775650326871,34.3108504398827,10.927152317880795
391,Kyouryouriyumekaisekitaniguchi  ,京料理夢懐石 谷ぐち,Marutamachi,Kyoto Cuisine,Kaiseki (Traditional Japanese),65.0,42.0,3.51,3.51,3.5,6,35.0169202593955,135.765107757229,18.51851851851852,12.0
392,Kinnotsubasaerudoru  ,金の翼 エルドール,Karasuma,Izakaya (Tavern),Korean cuisine,33.0,14.0,3.0,3.01,3.0,23,35.0048165080561,135.762476310827,10.963455149501662,4.666666666666667
393,Umekoujikorabo  ,梅小路コラボ,Tambaguchi,Italian,Pasta,33.0,14.0,3.06,3.0,3.06,11,34.9895269742883,135.743251111435,11.0,4.57516339869281
395,Zakicchinsaruvatorekuomo  ,ザ キッチン サルヴァトーレ クオモ 京都,Kyoto,Italian,Cafe,33.0,14.0,3.49,3.37,3.48,196,34.9858523371143,135.75742399245502,9.792284866468842,4.022988505747127
397,Kawamuraryourihei  ,川村料理平 御幸町店,Kawaramachi,Izakaya (Tavern),Japanese food (other),33.0,14.0,3.07,3.0,3.08,24,35.0052540277354,135.766282085724,11.0,4.545454545454545
398,Kyoutokimurayahonten  ,京都木村屋本店,Kyoto,Izakaya (Tavern),Motsu Nabe (Offel Hot Pot),33.0,14.0,3.0,3.0,3.03,48,34.986059314403704,135.760571777058,11.0,4.62046204620462
400,Tsushima  ,対馬,Shijo Omiya,Izakaya (Tavern),Seafood,14.0,33.0,3.5,3.47,3.12,18,35.0050820424849,135.74699008473,4.034582132564841,10.576923076923077
402,kaisekifuransuryourigurumantachibana  ,懐石フランス料理 グルマン橘,Kyoto,French,Western Cuisine,85.0,42.0,3.18,3.0,3.39,12,34.9861619402937,135.752504664528,28.333333333333332,12.389380530973451
403,THE ROCKIN' HEARTS  ,ザ・ロッキンハーツ,Uji,Dining bar,Curry rice,14.0,,3.07,3.05,3.08,11,34.889690747805,135.801008073854,4.59016393442623,
407,Danieruzusore  ,ダニエルズソーレ,Karasuma,Italian,Pizza,33.0,14.0,3.21,3.05,3.37,51,35.005453110725604,135.762710706494,10.819672131147541,4.154302670623145
409,Amakudoparadhikambaikan  ,アマーク ド パラディ 寒梅館 ,Imadegawa,Cafe,Italian,33.0,,3.39,3.1,3.32,59,35.0313325028615,135.759160643125,10.64516129032258,
411,Kyouwazentainotai  ,京和膳 鯛廼鯛,Karasuma,Kyoto Cuisine,Kaiseki (Traditional Japanese),52.0,24.0,3.42,3.23,3.39,3,35.0062114378682,135.757938580376,16.09907120743034,7.0796460176991145
412,Nagamegawapontochouhana  ,眺河　先斗町～華～,Gion Shijo,Kaiseki (Traditional Japanese),Tofu,52.0,33.0,3.56,3.55,3.35,36,35.0046055709265,135.771145045046,14.647887323943662,9.850746268656716
413,mekishikandaininguabokado  ,Mexican Dining AVOCADO  京都店,Sanjo,Mexico cuisine,Cafe,33.0,14.0,3.14,3.08,3.22,58,35.0087559447513,135.770252983596,10.714285714285714,4.3478260869565215
419,nikudokoroikkou  ,肉処 一幸,Marutamachi,Yakiniku (BBQ Beef),Korean cuisine,42.0,,3.04,3.04,3.03,12,35.0174966548827,135.75311233802,13.81578947368421,
423,teppanyakiaoi  ,鉄板焼　葵,Kyoto,Teppanyaki,Japanese food (other),117.0,42.0,3.09,3.07,3.15,11,34.9861624957947,135.752504942257,38.11074918566776,13.333333333333334
427,Southern Court  ,サザンコート,Kyoto,Dining bar,Western (Others),33.0,24.0,3.58,3.56,3.54,82,34.986078184152795,135.759591579816,9.269662921348315,6.779661016949152
429,Tenkanoyakinikudaishougun  ,天下の焼肉 大将軍 四条大宮店,Omiya,Yakiniku (BBQ Beef),Korean cuisine,33.0,,3.2,3.04,3.36,27,35.0032553440389,135.749887705965,10.855263157894736,
430,il pozzo  ,イル ポッツオ,Karasuma Oike,Italian,Pasta,33.0,14.0,3.1,3.09,3.08,47,35.0079270375066,135.75521941443398,10.679611650485437,4.545454545454545
431,kyouryouriuryuu  ,京料理 卯柳,Sanjo,Kaiseki (Traditional Japanese),Fugu (Blowfish),85.0,33.0,3.23,3.15,3.16,15,35.006860051535604,135.771117999047,26.984126984126984,10.443037974683543
432,Rakusenrou  ,楽仙樓,Karasuma,Chinese,Izakaya (Tavern),24.0,,3.5,3.36,3.38,66,35.0033902461784,135.761013997939,7.142857142857143,
433,Kishouzakura  ,貴匠桜,Kiyomizu Gojo,French,Creative cuisine,65.0,33.0,3.31,3.31,3.06,18,34.997616924973805,135.77406373553,19.637462235649547,10.784313725490195
434,ryoushigoya  ,舞鶴港 漁師小屋,Nishi Maizuru,Izakaya (Tavern),Seafood,33.0,14.0,3.39,3.15,3.51,9,35.4483692416298,135.327290919841,10.476190476190476,3.988603988603989
435,nikubarudakara  ,ニクバルダカラ 京都四条烏丸店,Karasuma,Izakaya (Tavern),Steak,33.0,,3.04,3.04,3.03,6,35.0035378388188,135.760742324055,10.855263157894736,
436,BARVIDA  ,バルビダ イオンモール京都桂川店,Katsuragawa,Dining bar,Teppanyaki,24.0,,3.04,3.04,3.04,10,34.965176992307704,135.706495285121,7.894736842105263,
437,kafeandodainingubambi  ,Cafe&dining Bambi,Kyoto Shiyakusho Mae,Italian,Cafe,33.0,,3.19,3.19,3.05,21,35.0078545687395,135.76547064449198,10.344827586206897,
438,Erudoru  ,エルドール,Matsugasaki,Yakiniku (BBQ Beef),Horumon (BBQ Offel),42.0,14.0,3.09,3.07,3.13,13,35.051384503712605,135.773858776996,13.680781758957655,4.472843450479234
439,Ippinhashinaga  ,逸品　はし長,Karasuma,Kyoto Cuisine,Kaiseki (Traditional Japanese),65.0,24.0,3.51,3.35,3.51,15,35.0062402331775,135.76181879988198,19.402985074626866,6.837606837606838
440,Nabetoshunsaitokyouryourikaryuu  ,鍋と旬菜と京料理 花柳,Sanjo,Kyoto Cuisine,Kaiseki (Traditional Japanese),52.0,24.0,3.48,3.35,3.33,29,35.0073991610866,135.77114936050899,15.522388059701493,7.207207207207207
441,kafeandodainingubambikarasuma  ,cafe & dining Bambi -KARASUMA-,Karasuma,Italian,Cafe,33.0,14.0,3.06,3.06,3.06,9,35.0060426990217,135.75865379405198,10.784313725490195,4.57516339869281
442,Thiemuanfonvietto  ,Tiem an HUONG VIET,Karasuma Oike,Viet Nam cuisine,Asian & ethnic cuisine (and others),42.0,14.0,3.41,3.1,3.51,50,35.0122878156377,135.76068039203,13.548387096774194,3.988603988603989
443,Kurepurikyoutoshanderu  ,クレープリー 京都シャンデレール,Karasuma,Crepes,Cafe,14.0,14.0,3.53,3.44,3.51,52,35.0044268890743,135.76087536173,4.069767441860465,3.988603988603989
444,Risutoranteazekura  ,Ristorante Azekura,Kitayama,Italian,Restaurants (other),117.0,42.0,3.07,3.08,3.07,20,35.0593189715997,135.760176492433,37.98701298701299,13.680781758957655
446,Sala Suite Caffe Rucola   ,サラ スイート カフェ ルーコラ,Shijo,Italian,Cafe,33.0,14.0,3.38,3.39,3.27,99,35.003029950606106,135.757789004585,9.734513274336283,4.281345565749236
453,Pittsusarubatorekuomoandoguriru  ,PIZZA SALVATORE CUOMO & GRILL 京都,Sanjo,Pizza,Italian,33.0,14.0,3.07,3.08,3.07,191,35.0091050735216,135.770221303486,10.714285714285714,4.5602605863192185
455,Rengetsudiya  ,蓮月茶や,Higashiyama,Tofu,Yuba,33.0,33.0,3.11,3.1,3.07,23,35.0070121745114,135.782270399171,10.64516129032258,10.749185667752444
461,Aguuru  ,あーぐうる,Karasuma Oike,Okinawan Cuisine,Izakaya (Tavern),33.0,,3.5,3.44,3.43,62,35.007209526142304,135.759082038099,9.593023255813954,
462,Yakinikunonki  ,焼肉のんき,Higashino,Yakiniku (BBQ Beef),Horumon (BBQ Offel),14.0,,3.07,3.02,3.07,22,34.9847315379008,135.817685180117,4.635761589403973,
464,Oushokuyakappa  ,欧食屋 Kappa,Shijo,Italian,Bar,42.0,,3.06,3.05,3.06,10,35.0011968806133,135.761640435789,13.77049180327869,
465,Minari  ,美菜莉,Kyoto,Korean cuisine,table d'hôte,24.0,14.0,3.05,3.04,3.05,18,34.9857923570028,135.758195320047,7.894736842105263,4.59016393442623
467,sumibisute-kisakaikyoutosanjou  ,炭火ステーキ坂井 京都三条,Karasuma Oike,Steak,Kaiseki (Traditional Japanese),117.0,14.0,3.5,3.09,3.53,14,35.0084038300335,135.758348710679,37.86407766990291,3.96600566572238
469,Byuandodainingukotoshieru  ,ビュー＆ダイニング コトシエール,Kyoto,Modern French,Italian,85.0,33.0,3.42,3.42,3.06,16,34.986715336987096,135.759520723032,24.853801169590643,10.784313725490195
470,Karin  ,花梨,Nijojo Mae,Chinese,Dandan noodles,65.0,33.0,3.51,3.28,3.51,32,35.0124527439116,135.75276732112698,19.81707317073171,9.401709401709402
471,Fujiya  ,藤や,Sanjo,Kyoto Cuisine,Kaiseki (Traditional Japanese),85.0,52.0,3.09,3.1,3.07,7,35.0092364447783,135.770016314461,27.419354838709676,16.938110749185668
474,Nikukappoubarugyugyu  ,肉割烹バル 牛牛 GYUGYU 祇園本店,Gion Shijo,Bar,Izakaya (Tavern),42.0,24.0,3.06,3.06,3.06,22,35.0044231981298,135.7773106525,13.72549019607843,7.8431372549019605
475,furenchigiombarumaruhashi  ,フレンチ祇園バル 丸橋,Gion Shijo,Bar,French,33.0,,3.54,3.54,3.14,54,35.004532821374895,135.772315506744,9.322033898305085,
476,nikubaruginjirou  ,肉バル銀次郎 烏丸御池本店,Karasuma Oike,Bar,Italian,33.0,,3.52,3.5,3.48,39,35.0111859734265,135.75496941878902,9.428571428571429,
479,Kyounishikiobanzaibyuffehinataya  ,京・錦 おばん菜ビュッフェ ひなたや,Kawaramachi,Buffet style,Kyoto Cuisine,14.0,14.0,3.03,3.03,3.0,15,35.0050709633495,135.764655562569,4.62046204620462,4.666666666666667
481,coLLabo  ,コラボ,Karasuma Oike,Cafe,Hamburger Steak,14.0,,3.27,3.11,3.18,67,35.0087508132,135.762690278581,4.501607717041801,
483,Ryuuan  ,りゅう庵,Gion Shijo,Yakiniku (BBQ Beef),Japanese food (other),65.0,14.0,3.22,3.06,3.41,15,35.0047033612946,135.772464653172,21.241830065359476,4.105571847507331
485,Resutoranrejina  ,レストラン レジーナ,Kyoto,Western Food (Other),Buffet style,,14.0,3.03,3.0,3.04,11,34.988086527367,135.756552573071,,4.605263157894737
489,Yakinikuyoshimi  ,焼肉 嘉,Jingu Marutamachi,Yakiniku (BBQ Beef),Steak,85.0,14.0,3.58,3.59,3.39,18,35.0173827235779,135.769612073443,23.676880222841227,4.129793510324483
490,sute-kihausupondo  ,ステーキハウス 听 本店,Marutamachi,Steak,Hamburger Steak,42.0,14.0,3.2,3.2,3.07,41,35.014871765185,135.759256393056,13.125,4.5602605863192185
501,Kyoutosakagurakan  ,京都酒蔵館,Shijo,Izakaya (Tavern),Bar,33.0,24.0,3.25,3.15,3.21,8,35.001393747105496,135.758383197238,10.476190476190476,7.4766355140186915
502,Sutekihanasato  ,ステーキ花郷 祇園店,Gion Shijo,Steak,Teppanyaki,235.0,65.0,3.17,3.06,3.33,5,35.0057496936379,135.775634619509,76.79738562091504,19.51951951951952
503,Tawaterasu  ,タワーテラス,Kyoto,Buffet style,Kaiseki (Traditional Japanese),42.0,24.0,3.35,3.09,3.5,29,34.9875874625536,135.75932764335698,13.592233009708739,6.857142857142857
504,Gionshimbashinakatani  ,祇園新橋 中谷,Gion Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),85.0,33.0,3.56,3.55,3.31,8,35.0059698378736,135.774428780362,23.943661971830988,9.969788519637461
505,Orudohonkonresutorankyouto  ,老香港酒家京都,Shijo,Chinese,Cantonese Cuisine,117.0,14.0,3.88,4.04,3.61,148,35.003150238815195,135.759122777166,28.96039603960396,3.878116343490305
506,Okonomiyakitsuruhashifuugetsu  ,お好み焼き 鶴橋風月 京都ヨドバシ店,Kyoto,Izakaya (Tavern),Okonomiyaki,14.0,,3.09,3.07,3.09,21,34.9882082257195,135.75911179936898,4.5602605863192185,
507,Yakinikuyaruki  ,焼肉やる気 四条河原町店,Gion Shijo,Yakiniku (BBQ Beef),Steak,24.0,14.0,3.07,3.08,3.06,29,35.003673132593306,135.770841270236,7.792207792207792,4.57516339869281
508,trattoria sette  ,トラットリア セッテ ハイアット リージェンシー 京都,Shichijo,Italian,Pizza,52.0,24.0,3.57,3.55,3.52,112,34.9885256615719,135.773285885375,14.647887323943662,6.818181818181818
509,Kurosuke  ,くろすけ,Kitano Hakubaicho,Tofu,Yuba,65.0,33.0,3.09,3.08,3.08,26,35.030690044604,135.737293541279,21.103896103896105,10.714285714285714
512,Kenzoesuteitowainarigionten  ,ケンゾーエステイトワイナリー 祇園店,Gion Shijo,Italian,Wine bar,85.0,33.0,3.61,3.62,3.1,18,35.0041894378747,135.774262180344,23.480662983425415,10.64516129032258
513,Osteria Bastille  ,オステリア・バスティーユ,Karasuma,Italian,French,42.0,14.0,3.42,3.2,3.49,86,35.0062257722612,135.76078721955798,13.125,4.011461318051576
514,IN THE GREEN  ,イン・ザ・グリーン,Kitayama,Italian,Pizza,33.0,14.0,3.52,3.41,3.54,101,35.0508266183908,135.764285708834,9.67741935483871,3.9548022598870056
515,Ajoiichanchi  ,agio.iichan.chi,Fushimi Momoyama,Dining bar,Cafe,24.0,,3.08,3.03,3.11,40,34.9331000107658,135.762392397532,7.920792079207922,
517,burassuri-kontowa-ru  ,ブラッスリー・コントワール,Nishioji,Izakaya (Tavern),Bistro,33.0,,3.53,3.53,3.38,16,34.9806968970149,135.732464636026,9.34844192634561,
519,Manchou  ,萬長,Myoshinji,Kyoto Cuisine,Kaiseki (Traditional Japanese),42.0,24.0,3.07,3.05,3.07,12,35.0259283001596,135.719840407183,13.77049180327869,7.817589576547232
520,Risutoranteoraegion  ,リストランテ オラエ祇園,Gion Shijo,Italian,Pasta,117.0,42.0,3.59,3.59,3.06,13,35.0057343764294,135.773283426592,32.590529247910865,13.72549019607843
523,Occobe.  ,オッコベー,Higashiyama,Italian,Pasta,33.0,,3.0,3.0,3.0,7,35.0093065901891,135.778770584191,11.0,
525,Cafe Restaurant Le Temps  ,ル・タン,Kyoto,Buffet style,Cafe,52.0,24.0,3.46,3.26,3.5,129,34.9860776286519,135.759591302087,15.950920245398773,6.857142857142857
528,kyoutofushimigurapontochouminamian  ,京都伏見蔵 先斗町 南庵,Gion Shijo,Izakaya (Tavern),Japanese food (other),42.0,14.0,3.0,3.0,3.05,4,35.0049177583206,135.771062815279,14.0,4.59016393442623
533,Tenkanoyakinikudaishougun  ,天下の焼肉 大将軍 京都駅前店,Kyoto,Yakiniku (BBQ Beef),Korean cuisine,33.0,,3.05,3.05,3.04,19,34.987467745019806,135.758862965239,10.819672131147541,
534,Kameya  ,かめや 西店,Saiin,Crab,Fugu (Blowfish),42.0,24.0,3.02,3.0,3.03,10,35.0037832955078,135.731258950996,14.0,7.920792079207922
536,Chishokufu  ,知食府,Emmachi,Chinese,Sichuan Cuisine,24.0,,3.06,3.03,3.06,9,35.0172235312682,135.731640800471,7.920792079207922,
538,Kasuian  ,花水庵,Higashiyama,Kyoto Cuisine,Kaiseki (Traditional Japanese),65.0,33.0,3.06,3.06,3.04,7,35.004593686488,135.78030276253799,21.241830065359476,10.855263157894736
539,Mimasuyamonami  ,ミマスヤ モナミ,Kawaramachi,Creative cuisine,Kyoto Cuisine,42.0,14.0,3.49,3.42,3.48,18,35.0006804052778,135.76943147919,12.280701754385966,4.022988505747127
540,Juunikiyakan  ,十二季家 歓 京都店,Kyoto,Izakaya (Tavern),Kyoto Cuisine,24.0,,3.06,3.06,3.0,31,34.9835165292173,135.760479679558,7.8431372549019605,
543,Cafe Lavender  ,カフェ ラベンダー,Nijo,Buffet style,Izakaya (other),14.0,14.0,3.04,3.04,3.02,2,35.0150178405933,135.742204191403,4.605263157894737,4.635761589403973
548,Hisa  ,長崎ちゃんぽん・皿うどん専門店 尚 ,Emmachi,Champon Noodle,Ramen,14.0,,3.38,3.06,3.38,24,35.018408551174396,135.724134147115,4.57516339869281,
550,Hikohachi  ,彦八,Gion Shijo,Sushi,Seafood,52.0,14.0,3.04,3.04,3.04,7,35.000418626906,135.777336112542,17.105263157894736,4.605263157894737
552,FORTUNE GARDEN KYOTO  ,フォーチュンガーデンキョウト,Kyoto Shiyakusho Mae,Bistro,Western Cuisine,42.0,14.0,3.59,3.58,3.56,107,35.012517460640396,135.768751823969,11.731843575418994,3.932584269662921
555,Heso  ,へそ 京都駅前店,Kyoto,Standing style soba,Izakaya (Tavern),14.0,,3.35,3.33,3.08,54,34.989081484486796,135.760190280706,4.2042042042042045,
556,Kyounozenkuruma  ,京の禅 車 四条烏丸店,Shijo,Izakaya (Tavern),Yakitori (Grilled chicken),42.0,14.0,3.52,3.35,3.54,42,35.001915987833904,135.762640597394,12.53731343283582,3.9548022598870056
559,Norakuro  ,まちかどマルシェ Norakuro,Nishioji,Italian,Bistro,33.0,14.0,3.06,3.06,3.06,10,34.9868846343161,135.736232371555,10.784313725490195,4.57516339869281
562,Gioniwamoto  ,祇園　岩元,Gion Shijo,Kyoto Cuisine,Kappo (Traditional Japanese),117.0,42.0,3.63,3.54,3.68,18,35.002629186640895,135.7752089652,33.05084745762712,11.41304347826087
565,Seichuuan  ,聖宙庵,Mototanaka,French,Western Food (Other),52.0,33.0,3.04,3.0,3.05,16,35.0234566833485,135.791238063938,17.333333333333332,10.819672131147541
568,Toriseetakoyakushiten  ,鳥せゑ 蛸薬師店,Karasuma,Yakitori (Grilled chicken),Izakaya (Tavern),33.0,,3.04,3.0,3.06,13,35.0060560797894,135.761451338878,11.0,
571,Unkai  ,雲海,Nijojo Mae,Kaiseki (Traditional Japanese),Sushi,85.0,33.0,3.18,3.04,3.35,28,35.0126132859341,135.752975629768,27.960526315789473,9.850746268656716
574,Shimogamosaryou  ,下鴨茶寮 本店,Demachiyanagi,Kaiseki (Traditional Japanese),Kyoto Cuisine,165.0,85.0,3.61,3.16,3.65,72,35.0341194079277,135.773971784747,52.21518987341772,23.28767123287671
575,Kifunekiraku  ,貴船喜らく,Kurama,Kaiseki (Traditional Japanese),Kyoto Cuisine,117.0,33.0,3.52,3.51,3.08,23,35.121465435077,135.763333646673,33.333333333333336,10.714285714285714
576,Nikuyasuzu  ,肉や すず,Shichijo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),33.0,14.0,3.06,3.05,3.05,5,34.9891627269843,135.768209610961,10.819672131147541,4.59016393442623
577,KITAYAMA MONOLITH  ,北山モノリス,Shugakuin,Kaiseki (Traditional Japanese),Kyoto Cuisine,65.0,33.0,3.06,3.06,3.05,22,35.053202378524105,135.790545640787,21.241830065359476,10.819672131147541
578,Watanabe  ,ローストビーフの店 ワタナベ ,Nijojo Mae,Beef dishes,French,52.0,52.0,3.54,3.54,3.04,15,35.0106682253045,135.753496787151,14.689265536723164,17.105263157894736
580,hamba-guandosute-kipondo  ,ハンバーグ＆ステーキ 听 梅小路店,Tambaguchi,Hamburger Steak,Steak,14.0,14.0,3.06,3.06,3.05,28,34.9893381057758,135.7432611193,4.57516339869281,4.59016393442623
581,Gempinfugukyoutoekimaenoseki  ,玄品ふぐ 京都駅前の関,Kyoto,Fugu (Blowfish),Hot Pot (other),42.0,33.0,3.07,3.03,3.07,6,34.9882018600231,135.760400581518,13.861386138613863,10.749185667752444
586,Kyouhorumonkura  ,京ホルモン 蔵 四条寺町店,Kawaramachi,Yakiniku (BBQ Beef),Horumon (BBQ Offel),33.0,,3.04,3.04,3.03,16,35.0035175580113,135.766923779049,10.855263157894736,
588,Buraitonkicchin  ,ブライトンキッチン,Keihan Yamashina,Buffet style,Western Cuisine,24.0,24.0,3.16,3.14,3.07,23,34.9914324974048,135.81667325933398,7.643312101910828,7.817589576547232
591,Kihara  ,きはら,Marutamachi,Yakiniku (BBQ Beef),Horumon (BBQ Offel),42.0,,3.15,3.15,3.05,15,35.014500405906404,135.758677569336,13.333333333333334,
592,Kamon  ,花門-kamon-,Kawaramachi,Italian,Bar,33.0,14.0,3.31,3.31,3.06,20,35.000848950131,135.766670311855,9.969788519637461,4.57516339869281
593,Mew’z cafe  ,ミューズ カフェ,Kyoto Shiyakusho Mae,Dining bar,Thailand cooking,24.0,,3.06,3.02,3.06,19,35.0140803189745,135.767031061588,7.947019867549669,
598,chuugokuryourikoukaryuuhou  ,中国料理 皇家龍鳳,Kyoto,Chinese,Dim sum,65.0,33.0,3.31,3.26,3.17,16,34.986018067405,135.752539668245,19.938650306748468,10.410094637223976
600,Kaiseitei  ,開晴亭 北山店,Kitayama,French,Italian,42.0,24.0,3.39,3.08,3.37,36,35.0511669200994,135.767739572989,13.636363636363637,7.121661721068249
604,Toto  ,魚源,Nishi Maizuru,Seafood,Sushi,42.0,14.0,3.22,3.12,3.21,13,35.443161202914,135.32816914224702,13.461538461538462,4.361370716510904
605,Ganko  ,がんこ 高瀬川二条苑,Kyoto Shiyakusho Mae,Kaiseki (Traditional Japanese),Shabu Shabu (Japanese Steamboat),52.0,33.0,3.52,3.51,3.32,79,35.0127699701935,135.77084497183998,14.814814814814815,9.93975903614458
606,PASTA MORE  ,パスタモーレ 京都駅店,Kyoto,Italian,French,24.0,14.0,3.0,3.06,3.0,77,34.9846169425753,135.759077245365,7.8431372549019605,4.666666666666667
608,wagyuuyakinikutoku  ,和牛焼肉 徳,Sanjo,Yakiniku (BBQ Beef),Korean cuisine,65.0,14.0,3.53,3.53,3.2,29,35.0063420782855,135.772658172762,18.41359773371105,4.375
610,Tsukinokurabito  ,月の蔵人,Fushimi Momoyama,Kappo (Traditional Japanese),Dining bar,33.0,14.0,3.5,3.35,3.46,110,34.9305938797046,135.761806728228,9.850746268656716,4.046242774566474
612,Zekuu  ,是空,Imadegawa,Ramen,Boneless deep-fried chicken,,,3.34,3.14,3.3,39,35.0295781322478,135.75264459839,,
615,Al Vere  ,アルヴェーレ,Momoyamagoryomae,Italian,Pasta,33.0,,3.0,3.0,3.01,6,34.933229537916695,135.764975879634,11.0,
616,Nijoukiduki  ,二條 葵月,Kyoto Shiyakusho Mae,Sushi,Creative cuisine,65.0,14.0,3.57,3.54,3.55,27,35.0135911599358,135.764472407717,18.361581920903955,3.943661971830986
619,kibunebeniya  ,貴船べにや,Kurama,Kaiseki (Traditional Japanese),Kyoto Cuisine,65.0,65.0,3.54,3.34,3.51,30,35.116795617302195,135.761073216075,19.46107784431138,18.51851851851852
622,Bussarakan  ,佛沙羅館,Kiyomizu Gojo,Thailand cooking,Creative cuisine,42.0,14.0,3.14,3.07,3.24,56,34.999757442616804,135.769097938274,13.680781758957655,4.320987654320987
624,Noukoutoripaitanramemmisora  ,濃厚鶏白湯ラーメン 美空,Kawaramachi,Ramen,Tsukemen,,,3.09,3.06,3.09,20,35.0012841378747,135.768565480319,,
625,Yakinikutoraji  ,焼肉トラジ 京都店,Kyoto,Yakiniku (BBQ Beef),Horumon (BBQ Offel),52.0,14.0,3.13,3.05,3.25,39,34.9882521084398,135.75902735991698,17.049180327868854,4.3076923076923075
626,Ganko  ,がんこ 京都駅ビル店,Kyoto,Kaiseki (Traditional Japanese),Japanese food (other),33.0,14.0,3.18,3.1,3.18,50,34.985997360279605,135.759638246329,10.64516129032258,4.40251572327044
627,Sajjoupakuchi  ,三条パクチー,Kyoto Shiyakusho Mae,Thailand cooking,Izakaya (Tavern),24.0,,3.52,3.5,3.49,99,35.009009741540105,135.76653439185,6.857142857142857,
628,Gionhatanaka  ,祇園畑中,Gion Shijo,Ryokan,Kyoto Cuisine,117.0,52.0,3.65,3.65,3.54,22,35.0023273381457,135.778853676405,32.054794520547944,14.689265536723164
634,Yukinoshita  ,雪ノ下 京都本店,Nijojo Mae,Pancake,Shaved ice (snow cone),14.0,14.0,3.58,3.13,3.58,131,35.0084717971417,135.753701315737,4.472843450479234,3.910614525139665
639,Ristorante t.v.b  ,リストランテ ティ ヴォリオ ベーネ,Gion Shijo,Italian,Wine bar,165.0,52.0,3.67,3.64,3.62,121,35.0024586542841,135.775492838365,45.32967032967033,14.3646408839779
643,Ebisu  ,恵比朱,Kyoto,Ramen,Chinese,,,3.51,3.48,3.17,125,34.9879265422866,135.760671004052,,
645,matono  ,まとの,Gion Shijo,Kappo (Traditional Japanese),Kaiseki (Traditional Japanese),117.0,42.0,3.72,3.63,3.72,69,35.001565480173305,135.779138965567,32.231404958677686,11.29032258064516
646,Shiunsen  ,紫雲仙,Kyoto Shiyakusho Mae,Soba,Kappo (Traditional Japanese),33.0,14.0,3.53,3.28,3.52,40,35.0101610034653,135.766315468137,10.060975609756099,3.977272727272727
648,Kidoriya  ,季鶏屋,Kyoto,Izakaya (Tavern),Yakitori (Grilled chicken),24.0,,3.0,3.06,3.0,12,34.988058244401,135.759262904836,7.8431372549019605,
649,Kumamotosougouinshokutemmao  ,隈本総合飲食店 MAO,Karasuma,Bar,Cafe,33.0,,3.25,3.06,3.46,35,35.0053475358147,135.76095613485,10.784313725490195,
650,shijoupakuchi-  ,四条パクチー,Shijo,Thailand cooking,Izakaya (Tavern),24.0,,3.34,3.21,3.3,52,35.0038231679774,135.756007449356,7.4766355140186915,
652,Kyoutotsuyushabuchiriri  ,京都つゆしゃぶCHIRIRI 本店,Marutamachi,Shabu Shabu (Japanese Steamboat),Sukiyaki,65.0,24.0,3.51,3.36,3.51,25,35.018079837860604,135.757863280496,19.345238095238095,6.837606837606838
658,nihonryourisakuragawa  ,日本料理 櫻川,Kyoto Shiyakusho Mae,Kaiseki (Traditional Japanese),Kappo (Traditional Japanese),235.0,85.0,3.89,3.71,3.97,61,35.0121764197554,135.770683901434,63.342318059299195,21.41057934508816
